Year	house	senate	input
2016		15.507936507936508	4.4409090909090905
2015		18.285714285714285	5.236363636363636
2017		21.77777777777778	6.236363636363636
2020	43.955414012738856	24.333333333333332	38.336363636363636
2019	6.86624203821656	16.46031746031746	9.613636363636363
2013		2.9206349206349205	0.8363636363636363
2012		0.9523809523809523	0.2727272727272727
2018	0.01910828025477707	22.142857142857142	6.3545454545454545
2021	32.48407643312102	9.587301587301587	25.927272727272726
2014		11.53968253968254	3.3045454545454547
